"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42354-15405","PF","JaMychal","JaMychal Green","Green","17.525926378038193","27","3700","MEM@LAC","LAC","MEM","","","","",""
"42354-9809","SF","Nicolas","Nicolas Batum","Batum","15.6875","16","3700","CHA@DAL","CHA","DAL","","","","",""
"42354-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","13.906451809790827","31","3700","UTA@ORL","UTA","ORL","","","","",""
"42354-58519","SG","Gary","Gary Payton II","Payton II","29.220001220703125","5","3700","DEN@WAS","WAS","DEN","","","","",""
"42354-84708","C","Robert","Robert Williams","Williams","16.205262836657074","19","3700","BOS@CHI","BOS","CHI","O","Hip","","",""
"42354-110325","PF","Daniel","Daniel Gafford","Gafford","11.13199951171875","25","3700","BOS@CHI","CHI","BOS","","","","",""
"42354-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","15.526315789473685","19","3700","UTA@ORL","ORL","UTA","O","Shoulder","","",""
"42354-17230","SG","Langston","Langston Galloway","Galloway","17.711429268973216","35","3700","DET@GS","DET","GS","","","","",""
"42354-80816","SG","Malik","Malik Monk","Monk","16.194444444444443","36","3700","CHA@DAL","CHA","DAL","","","","",""
"42354-66061","SG","Dwayne","Dwayne Bacon","Bacon","11.940740514684606","27","3600","CHA@DAL","CHA","DAL","","","","",""
"42354-66064","SG","Malik","Malik Beasley","Beasley","11.165384145883413","26","3600","DEN@WAS","DEN","WAS","","","","",""
"42354-15417","SF","Solomon","Solomon Hill","Hill","14.70000018495502","33","3600","MEM@LAC","MEM","LAC","","","","",""
"42354-9799","SG","Wesley","Wesley Matthews","Matthews","14.615151145241477","33","3600","SA@MIL","MIL","SA","","","","",""
"42354-15952","PF","John","John Henson","Henson","15.206250190734863","16","3600","OKC@CLE","CLE","OKC","","","","",""
"42354-17517","SG","Tony","Tony Snell","Snell","13.612903225806452","31","3600","DET@GS","DET","GS","","","","",""
"42354-23155","SG","Naz","Naz Mitrou-Long","Mitrou-Long","11.90000025431315","3","3600","IND@ATL","IND","ATL","GTD","Ankle","","",""
"42354-15993","SG","Pat","Pat Connaughton","Connaughton","14.952940996955423","34","3600","SA@MIL","MIL","SA","","","","",""
"42354-9873","C","Robin","Robin Lopez","Lopez","11.63888888888889","36","3600","SA@MIL","MIL","SA","","","","",""
"42354-84698","SF","Dzanan","Dzanan Musa","Musa","9.070833206176758","24","3600","TOR@BKN","BKN","TOR","","","","",""
"42354-16604","SF","Justin","Justin Holiday","Holiday","18.074285016741072","35","3600","IND@ATL","IND","ATL","","","","",""
"42354-84707","SF","Chandler","Chandler Hutchison","Hutchison","13.844444274902344","9","3600","BOS@CHI","CHI","BOS","","","","",""
"42354-85241","PF","Johnathan","Johnathan Williams","Williams","12.725000381469727","4","3600","DEN@WAS","WAS","DEN","","","","",""
"42354-110340","C","Jaxson","Jaxson Hayes","Hayes","19.400000787550404","31","3600","NO@SAC","NO","SAC","","","","",""
"42354-55055","PG","Dante","Dante Exum","Exum","6.7","15","3600","OKC@CLE","CLE","OKC","","","","",""
"42354-58134","SF","Justin","Justin Jackson","Jackson","10.733333333333333","30","3600","CHA@DAL","DAL","CHA","","","","",""
"42354-18256","SF","Doug","Doug McDermott","McDermott","14.562857491629464","35","3600","IND@ATL","IND","ATL","","","","",""
"42354-63826","C","Boban","Boban Marjanovic","Marjanovic","11.211765064912683","17","3600","CHA@DAL","DAL","CHA","","","","",""
"42354-15744","SG","Rodney","Rodney McGruder","McGruder","10.141666412353516","24","3600","MEM@LAC","LAC","MEM","","","","",""
"42354-9636","SF","Wilson","Wilson Chandler","Chandler","15.1875","8","3600","TOR@BKN","BKN","TOR","","","","",""
